26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
223.828125,136.25,,,,,,,,,,,,,,,,,
225.296875,135.25,,,,,,,,,,,,,,,,,
226.765625,134.25,,,,,,,,,,,,,,,,,
228.234375,133.25,,,,,,,,,,,,,,,,,
229.703125,132.25,,,,,,,,,,,,,,,,,
231.171875,131.25,,,,,,,,,,,,,,,,,
232.578125,131.25,,,,,,,,,,,,,,,,,
234.03125,130.25,,,,,,,,,,,,,,,,,
235.515625,129.25,,,,,,,,,,,,,,,,,
236.90625,129.25,,,,,,,,,,,,,,,,,
238.3125,129.25,,,,,,,,,,,,,,,,,
239.703125,129.25,,,,,,,,,,,,,,,,,
241.1875,128.25,,,,,,,,,,,,,,,,,
242.578125,128.25,,,,,,,,,,,,,,,,,
243.984375,128.25,,,,,,,,,,,,,,,,,
245.375,128.25,,,,,,,,,,,,,,,,,
246.703125,129.25,,,,,,,,,,,,,,,,,
248.09375,129.25,,,,,,,,,,,,,,,,,
249.5,129.25,,,,,,,,,,,,,,,,,
250.8125,130.25,,,,,,,,,,,,,,,,,
252.21875,130.25,,,,,,,,,,,,,,,,,
253.546875,131.25,,,,,,,,,,,,,,,,,
254.953125,131.25,,,,,,,,,,,,,,,,,
256.265625,132.25,,,,,,,,,,,,,,,,,
257.609375,133.25,,,,,,,,,,,,,,,,,
259,133.25,,,,,,,,,,,,,,,,,
260.328125,134.25,,,,,,,,,,,,,,,,,
258.703125,199.25,,,,,,,,,,,,,,,,,
262.984375,136.25,,,,,,,,,,,,,,,,,
264.25,138.25,,,,,,,,,,,,,,,,,
265.59375,139.25,,,,,,,,,,,,,,,,,
266.921875,140.25,,,,,,,,,,,,,,,,,
268.203125,142.25,,,,,,,,,,,,,,,,,
324.625,158.25,,,,,,,,,,,,,,,,,
326.0625,157.25,,,,,,,,,,,,,,,,,
327.453125,157.25,,,,,,,,,,,,,,,,,
328.84375,157.25,,,,,,,,,,,,,,,,,
330.25,157.25,,,,,,,,,,,,,,,,,
331.640625,157.25,,,,,,,,,,,,,,,,,
333.03125,157.25,,,,,,,,,,,,,,,,,
334.4375,157.25,,,,,,,,,,,,,,,,,
335.828125,157.25,,,,,,,,,,,,,,,,,
337.21875,157.25,,,,,,,,,,,,,,,,,
338.625,157.25,,,,,,,,,,,,,,,,,
340.015625,157.25,,,,,,,,,,,,,,,,,
341.359375,158.25,,,,,,,,,,,,,,,,,
342.765625,158.25,,,,,,,,,,,,,,,,,
344.109375,159.25,,,,,,,,,,,,,,,,,
345.5,159.25,,,,,,,,,,,,,,,,,
346.859375,160.25,,,,,,,,,,,,,,,,,
348.109375,161.25,,,,,,,,,,,,,,,,,
348.109375,161.25,,,,,,,,,,,,,,,,,
100.84375,162.25,,,,,,,,,,,,,,,,,
102.109375,165.25,,,,,,,,,,,,,,,,,
103.40625,167.25,,,,,,,,,,,,,,,,,
104.65625,170.25,,,,,,,,,,,,,,,,,
105.890625,174.25,,,,,,,,,,,,,,,,,
107.15625,177.25,,,,,,,,,,,,,,,,,
108.421875,180.25,,,,,,,,,,,,,,,,,
109.671875,184.25,,,,,,,,,,,,,,,,,
111.28125,178.25,,,,,,,,,,,,,,,,,
112.125,193.5,,,,,,,,,,,,,,,,,
112.03125,252.5,,,,,,,,,,,,,,,,,
115.125,187.75,,,,,,,,,,,,,,,,,
116.59375,185.25,,,,,,,,,,,,,,,,,
118.140625,181.25,,,,,,,,,,,,,,,,,
119.6875,177.25,,,,,,,,,,,,,,,,,
121.15625,175.25,,,,,,,,,,,,,,,,,
122.71875,171.25,,,,,,,,,,,,,,,,,
124.25,168,,,,,,,,,,,,,,,,,
125.71875,166.25,,,,,,,,,,,,,,,,,
127.234375,163.25,,,,,,,,,,,,,,,,,
128.75,161.25,,,,,,,,,,,,,,,,,
130.234375,159.25,,,,,,,,,,,,,,,,,
131.71875,157.25,,,,,,,,,,,,,,,,,
133.15625,156.25,,,,,,,,,,,,,,,,,
134.640625,154.25,,,,,,,,,,,,,,,,,
136.078125,153.25,,,,,,,,,,,,,,,,,
137.53125,152.25,,,,,,,,,,,,,,,,,
139.03125,150.25,,,,,,,,,,,,,,,,,
140.46875,149.25,,,,,,,,,,,,,,,,,
141.921875,148.25,,,,,,,,,,,,,,,,,
143.390625,147.25,,,,,,,,,,,,,,,,,
144.78125,147.25,,,,,,,,,,,,,,,,,
146.21875,146.25,,,,,,,,,,,,,,,,,
147.609375,146.25,,,,,,,,,,,,,,,,,
149.0625,145.25,,,,,,,,,,,,,,,,,
150.453125,145.25,,,,,,,,,,,,,,,,,
151.84375,145.25,,,,,,,,,,,,,,,,,
153.296875,144.25,,,,,,,,,,,,,,,,,
154.625,145.25,,,,,,,,,,,,,,,,,
156.09375,144.25,,,,,,,,,,,,,,,,,
348.625,161.25,,,,,,,,,,,,,,,,,
157.890625,144.25,,,,,,,,,,,,,,,,,
159.28125,144.25,,,,,,,,,,,,,,,,,
160.671875,144.25,,,,,,,,,,,,,,,,,
162,145.25,,,,,,,,,,,,,,,,,
163.328125,146.25,,,,,,,,,,,,,,,,,
164.6875,147.25,,,,,,,,,,,,,,,,,
166.015625,148.25,,,,,,,,,,,,,,,,,
167.34375,149.25,,,,,,,,,,,,,,,,,
168.6875,150.25,,,,,,,,,,,,,,,,,
170.015625,151.25,,,,,,,,,,,,,,,,,
171.375,152.25,,,,,,,,,,,,,,,,,
172.703125,153.25,,,,,,,,,,,,,,,,,
174.046875,154.25,,,,,,,,,,,,,,,,,
175.390625,155.25,,,,,,,,,,,,,,,,,
176.6875,157.25,,,,,,,,,,,,,,,,,
178.046875,158.25,,,,,,,,,,,,,,,,,
179.34375,160.25,,,,,,,,,,,,,,,,,
