#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
322.6406250000,151.2500000000
324.0937500000,150.2500000000
325.5156250000,149.2500000000
326.9062500000,149.2500000000
328.3437500000,148.2500000000
329.7343750000,148.2500000000
331.1875000000,147.2500000000
332.5625000000,147.2500000000
333.9531250000,147.2500000000
335.3281250000,147.2500000000
336.6562500000,148.2500000000
338.0312500000,148.2500000000
336.8906250000,212.2500000000
340.8125000000,148.2500000000
342.1875000000,148.2500000000
343.5781250000,148.2500000000
344.8906250000,149.2500000000
346.2812500000,149.2500000000
345.1562500000,214.2500000000
349.0312500000,150.2500000000
212.2968750000,116.2500000000
213.5000000000,118.2500000000
214.6093750000,121.2500000000
215.8593750000,123.0000000000
215.1250000000,0.0000000000
217.0468750000,145.5000000000
218.5000000000,144.2500000000
220.0000000000,142.2500000000
221.4531250000,141.2500000000
222.9531250000,139.2500000000
224.4062500000,138.2500000000
225.9062500000,136.2500000000
227.3593750000,135.2500000000
228.8125000000,134.2500000000
230.2656250000,133.2500000000
231.7187500000,132.2500000000
233.1718750000,131.2500000000
234.6093750000,130.2500000000
236.0000000000,130.2500000000
237.4531250000,129.2500000000
235.6562500000,193.2500000000
240.2968750000,128.2500000000
241.6875000000,128.2500000000
243.0625000000,128.2500000000
244.4375000000,128.2500000000
245.8281250000,128.2500000000
243.9843750000,192.2500000000
248.5937500000,128.2500000000
249.9687500000,128.2500000000
251.3437500000,128.2500000000
252.6562500000,129.2500000000
254.0312500000,129.2500000000
252.2343750000,193.2500000000
256.7187500000,130.2500000000
258.0937500000,130.2500000000
259.4218750000,131.2500000000
260.7187500000,132.2500000000
262.1093750000,132.2500000000
260.3906250000,197.2500000000
264.7343750000,134.2500000000
349.6093750000,151.2500000000
155.5312500000,154.2500000000
156.8906250000,154.2500000000
158.2656250000,154.2500000000
159.6875000000,153.2500000000
161.0156250000,154.2500000000
162.3750000000,154.2500000000
164.7343750000,137.5000000000
166.7500000000,128.5000000000
168.2187500000,127.2500000000
169.7343750000,125.2500000000
171.2656250000,123.2500000000
172.7343750000,122.2500000000
174.1875000000,121.2500000000
175.7343750000,119.2500000000
177.1875000000,118.2500000000
178.6406250000,117.2500000000
180.0156250000,117.2500000000
181.5781250000,115.2500000000
183.0312500000,114.2500000000
184.4062500000,114.2500000000
185.7812500000,114.2500000000
187.2500000000,113.2500000000
188.7187500000,112.2500000000
190.0937500000,112.2500000000
191.4687500000,112.2500000000
192.8437500000,112.2500000000
194.2187500000,112.2500000000
195.6718750000,111.2500000000
196.9531250000,112.2500000000
198.3281250000,112.2500000000
199.7031250000,112.2500000000
201.0625000000,112.2500000000
202.4375000000,112.2500000000
203.8125000000,112.2500000000
205.0781250000,113.2500000000
206.3437500000,114.2500000000
207.7187500000,114.2500000000
209.0000000000,115.2500000000
210.3750000000,115.2500000000
211.6562500000,116.2500000000
319.7656250000,153.2500000000
321.2031250000,152.2500000000
322.6406250000,151.2500000000
324.0781250000,150.2500000000
325.5156250000,149.2500000000
326.9062500000,149.2500000000
328.3437500000,148.2500000000
329.7343750000,148.2500000000
331.1718750000,147.2500000000
332.5625000000,147.2500000000
333.9531250000,147.2500000000
335.3281250000,147.2500000000
336.6562500000,148.2500000000
338.0312500000,148.2500000000
339.4218750000,148.2500000000
340.8125000000,148.2500000000
342.1875000000,148.2500000000
343.5781250000,148.2500000000
344.8906250000,149.2500000000
346.2812500000,149.2500000000
347.6250000000,150.2500000000
